intersection_id,junction_id,tls_id,linkIndex,from_edge,from_lane,to_edge,to_lane,dir,state,via
demo_15,1117,1117,0,-46787,1,-56027,1,l,m,:1117_15_0
demo_15,1117,1117,1,-46787,1,-46786,1,s,m,:1117_14_0
demo_15,1117,1117,2,-46787,1,-52228,0,r,m,:1117_13_0
demo_15,1117,1117,3,-56026,1,-52228,1,t,m,:1117_12_0
demo_15,1117,1117,4,-56026,1,-52561,1,l,m,:1117_11_0
demo_15,1117,1117,5,-56026,0,-56027,0,s,M,:1117_9_0
demo_15,1117,1117,6,-56026,1,-56027,1,s,M,:1117_9_1
demo_15,1117,1117,7,-56026,0,-46786,1,r,M,:1117_8_0
demo_15,1117,1117,8,-52560,1,-52228,1,l,m,:1117_7_0
demo_15,1117,1117,9,-52560,1,-52561,1,s,m,:1117_6_0
demo_15,1117,1117,10,-52560,1,-56027,0,r,m,:1117_5_0
demo_15,1117,1117,11,-52227,1,-56027,1,t,m,:1117_4_0
demo_15,1117,1117,12,-52227,1,-46786,1,l,m,:1117_3_0
demo_15,1117,1117,13,-52227,0,-52228,0,s,M,:1117_1_0
demo_15,1117,1117,14,-52227,1,-52228,1,s,M,:1117_1_1
demo_15,1117,1117,15,-52227,0,-52561,1,r,M,:1117_0_0
demo_17,3702,3702,0,-56184,0,-57321,1,l,m,:3702_9_0
demo_17,3702,3702,1,-56184,0,-57330,0,r,m,:3702_8_0
demo_17,3702,3702,2,-57320,1,-57330,1,t,m,:3702_7_0
demo_17,3702,3702,3,-57320,1,-50050,0,l,m,:3702_6_0
demo_17,3702,3702,4,-57320,0,-57321,0,s,M,:3702_4_0
demo_17,3702,3702,5,-57320,1,-57321,1,s,M,:3702_4_1
demo_17,3702,3702,6,-57329,1,-57321,1,t,m,:3702_3_0
demo_17,3702,3702,7,-57329,0,-57330,0,s,M,:3702_1_0
demo_17,3702,3702,8,-57329,1,-57330,1,s,M,:3702_1_1
demo_17,3702,3702,9,-57329,0,-50050,0,r,M,:3702_0_0
demo_18,4409,4409,0,-56830,3,-57058,1,t,m,:4409_21_0
demo_18,4409,4409,1,-56830,3,-56009,1,l,m,:4409_20_0
demo_18,4409,4409,2,-56830,0,-56831,0,s,M,:4409_16_0
demo_18,4409,4409,3,-56830,1,-56831,1,s,M,:4409_16_1
demo_18,4409,4409,4,-56830,2,-56831,2,s,M,:4409_16_2
demo_18,4409,4409,5,-56830,3,-56831,3,s,M,:4409_16_3
demo_18,4409,4409,6,-56830,0,-57005,0,r,M,:4409_15_0
demo_18,4409,4409,7,-56004,1,-57005,1,t,m,:4409_14_0
