intersection_id,junction_id,tls_id,link_index,approach,movement,from_edge,from_lane,to_edge,to_lane,direction,via,request_index,lane_id
demo_1,4427,4427,0,south,right,-56384,0,-56915,0,r,:4427_0_0,0,-56384_0
demo_1,4427,4427,1,south,right,-56384,0,-56915,1,r,:4427_0_1,0,-56384_0
demo_1,4427,4427,2,south,through,-56384,0,-56371,0,s,:4427_2_0,2,-56384_0
demo_1,4427,4427,3,south,through,-56384,0,-56371,1,s,:4427_2_1,2,-56384_0
demo_1,4427,4427,4,south,through,-56384,1,-56371,2,s,:4427_2_2,2,-56384_1
demo_1,4427,4427,5,south,through,-56384,2,-56371,3,s,:4427_2_3,2,-56384_2
demo_1,4427,4427,6,south,through,-56384,3,-56371,3,s,:4427_2_4,2,-56384_3
demo_1,4427,4427,7,south,left,-56384,3,manual_demo1_missing_arm,1,l,:4427_7_0,7,-56384_3
demo_1,4427,4427,8,west,right,-manual_demo1_missing_arm,0,-57218,0,r,:4427_8_0,8,-manual_demo1_missing_arm_0
demo_1,4427,4427,9,west,through,-manual_demo1_missing_arm,0,-56915,0,s,:4427_9_0,9,-manual_demo1_missing_arm_0
demo_1,4427,4427,10,west,through,-manual_demo1_missing_arm,0,-56915,1,s,:4427_9_1,9,-manual_demo1_missing_arm_0
demo_1,4427,4427,11,west,through,-manual_demo1_missing_arm,1,-56915,2,s,:4427_9_2,9,-manual_demo1_missing_arm_1
demo_1,4427,4427,12,west,left,-manual_demo1_missing_arm,1,-56371,3,l,:4427_12_0,12,-manual_demo1_missing_arm_1
demo_1,4427,4427,13,north,right,-57217,0,manual_demo1_missing_arm,0,r,:4427_13_0,13,-57217_0
demo_1,4427,4427,14,north,through,-57217,0,-57218,0,s,:4427_14_0,14,-57217_0
demo_1,4427,4427,15,north,through,-57217,1,-57218,1,s,:4427_14_1,14,-57217_1
demo_1,4427,4427,16,north,through,-57217,2,-57218,2,s,:4427_14_2,14,-57217_2
demo_1,4427,4427,17,north,left,-57217,3,-56915,2,l,:4427_17_0,17,-57217_3
demo_1,4427,4427,18,east,right,-56907,0,-56371,0,r,:4427_18_0,18,-56907_0
demo_1,4427,4427,19,east,through,-56907,0,manual_demo1_missing_arm,0,s,:4427_19_0,19,-56907_0
demo_1,4427,4427,20,east,right,-56907,1,-56371,1,r,:4427_20_0,20,-56907_1
demo_1,4427,4427,21,east,through,-56907,1,manual_demo1_missing_arm,0,s,:4427_21_0,21,-56907_1
demo_1,4427,4427,22,east,through,-56907,2,manual_demo1_missing_arm,1,s,:4427_21_1,21,-56907_2
demo_1,4427,4427,23,east,left,-56907,2,-57218,2,l,:4427_23_0,23,-56907_2
demo_10,4162,4162,0,south,right,-50758,1,-57446,0,r,:4162_0_0,0,-50758_1
demo_10,4162,4162,1,south,left,-50758,1,-50725,0,l,:4162_1_0,1,-50758_1
demo_10,4162,4162,2,west,right,-57445,0,-57487,1,r,:4162_2_0,2,-57445_0
demo_10,4162,4162,3,west,through,-57445,0,-57446,0,s,:4162_3_0,3,-57445_0
demo_10,4162,4162,4,east,through,-50726,0,-50725,0,s,:4162_4_0,4,-50726_0
demo_10,4162,4162,5,east,left,-50726,0,-57487,1,l,:4162_5_0,5,-50726_0
demo_11,4306,4306,0,south,right,-56346,0,-51265,0,r,:4306_0_0,0,-56346_0
demo_11,4306,4306,1,south,through,-56346,0,-57056,0,s,:4306_1_0,1,-56346_0
demo_11,4306,4306,2,south,right,-56346,1,-51265,1,r,:4306_2_0,2,-56346_1
demo_11,4306,4306,3,south,right,-56346,1,-51265,2,r,:4306_2_1,2,-56346_1
demo_11,4306,4306,4,south,through,-56346,1,-57056,1,s,:4306_4_0,4,-56346_1
demo_11,4306,4306,5,south,right,-56346,2,-51265,3,r,:4306_5_0,5,-56346_2
demo_11,4306,4306,6,south,through,-56346,2,-57056,2,s,:4306_6_0,6,-56346_2
demo_11,4306,4306,7,south,left,-56346,2,-57304,1,l,:4306_7_0,7,-56346_2
demo_11,4306,4306,8,south,left,-56346,3,-57304,2,l,:4306_7_1,7,-56346_3
demo_11,4306,4306,9,south,left,-56346,3,-57304,3,l,:4306_7_2,7,-56346_3
demo_11,4306,4306,10,west,right,-51264,0,-51252,0,r,:4306_10_0,10,-51264_0
demo_11,4306,4306,11,west,through,-51264,0,-51265,0,s,:4306_11_0,11,-51264_0
demo_11,4306,4306,12,west,right,-51264,1,-51252,1,r,:4306_12_0,12,-51264_1
demo_11,4306,4306,13,west,right,-51264,1,-51252,2,r,:4306_12_1,12,-51264_1
demo_11,4306,4306,14,west,through,-51264,2,-51265,1,s,:4306_14_0,14,-51264_2
demo_11,4306,4306,15,west,through,-51264,2,-51265,2,s,:4306_14_1,14,-51264_2
demo_11,4306,4306,16,west,through,-51264,3,-51265,3,s,:4306_14_2,14,-51264_3
demo_11,4306,4306,17,west,left,-51264,4,-57056,1,l,:4306_17_0,17,-51264_4
demo_11,4306,4306,18,west,left,-51264,4,-57056,2,l,:4306_17_1,17,-51264_4
demo_11,4306,4306,19,north,right,-57053,0,-57304,0,r,:4306_19_0,19,-57053_0
demo_11,4306,4306,20,north,through,-57053,0,-51252,0,s,:4306_20_0,20,-57053_0
demo_11,4306,4306,21,north,right,-57053,1,-57304,1,r,:4306_21_0,21,-57053_1
demo_11,4306,4306,22,north,right,-57053,1,-57304,2,r,:4306_21_1,21,-57053_1
demo_11,4306,4306,23,north,right,-57053,1,-57304,3,r,:4306_21_2,21,-57053_1
demo_11,4306,4306,24,north,through,-57053,1,-51252,1,s,:4306_24_0,24,-57053_1
demo_11,4306,4306,25,north,through,-57053,2,-51252,2,s,:4306_24_1,24,-57053_2
demo_11,4306,4306,26,north,left,-57053,3,-51265,1,l,:4306_26_0,26,-57053_3
demo_11,4306,4306,27,north,left,-57053,3,-51265,2,l,:4306_26_1,26,-57053_3
demo_11,4306,4306,28,north,left,-57053,3,-51265,3,l,:4306_26_2,26,-57053_3
demo_11,4306,4306,29,east,right,-57303,0,-57056,0,r,:4306_29_0,29,-57303_0
demo_11,4306,4306,30,east,right,-57303,0,-57056,1,r,:4306_29_1,29,-57303_0
demo_11,4306,4306,31,east,right,-57303,0,-57056,2,r,:4306_29_2,29,-57303_0
demo_11,4306,4306,32,east,through,-57303,1,-57304,2,s,:4306_32_0,32,-57303_1
demo_11,4306,4306,33,east,through,-57303,2,-57304,3,s,:4306_32_1,32,-57303_2
demo_11,4306,4306,34,east,left,-57303,2,-51252,1,l,:4306_34_0,34,-57303_2
demo_11,4306,4306,35,east,left,-57303,3,-51252,2,l,:4306_34_1,34,-57303_3
demo_12,182,182,0,south,right,-56345,0,-56564,0,r,:182_0_0,0,-56345_0
demo_12,182,182,1,south,right,-56345,0,-56564,1,r,:182_0_1,0,-56345_0
demo_12,182,182,2,south,right,-56345,0,-56564,2,r,:182_0_2,0,-56345_0
demo_12,182,182,3,south,through,-56345,1,-56346.1185,1,s,:182_3_0,3,-56345_1
demo_12,182,182,4,south,through,-56345,2,-56346.1185,2,s,:182_3_1,3,-56345_2
demo_12,182,182,5,south,left,-56345,3,-45669,0,l,:182_5_0,5,-56345_3
