interval_index,begin,end,intersection_id,official_approach,official_movement,target_pcu,actual_pcu,error_pcu,relative_error,geh,vehicle_contributions_pcu,passed
0,0,900,demo_3,east,left,9,9.0,0.0,0.0,0.0,"{'bus': 2.0, 'electric_bicycle': 0.0, 'passenger': 7.0, 'truck': 0.0}",True
0,0,900,demo_3,east,right,29,29.0,0.0,0.0,0.0,"{'bus': 4.0, 'electric_bicycle': 0.5, 'passenger': 22.0, 'truck': 2.5}",True
0,0,900,demo_3,east,through,70,70.0,0.0,0.0,0.0,"{'bus': 8.0, 'electric_bicycle': 1.0, 'passenger': 56.0, 'truck': 5.0}",True
0,0,900,demo_3,north,left,41,41.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 0.5, 'passenger': 32.0, 'truck': 2.5}",True
0,0,900,demo_3,north,right,27,27.0,0.0,0.0,0.0,"{'bus': 4.0, 'electric_bicycle': 0.5, 'passenger': 20.0, 'truck': 2.5}",True
0,0,900,demo_3,north,through,23,23.0,0.0,0.0,0.0,"{'bus': 2.0, 'electric_bicycle': 0.5, 'passenger': 18.0, 'truck': 2.5}",True
0,0,900,demo_3,south,left,25,25.0,0.0,0.0,0.0,"{'bus': 2.0, 'electric_bicycle': 0.5, 'passenger': 20.0, 'truck': 2.5}",True
0,0,900,demo_3,south,right,33,33.0,0.0,0.0,0.0,"{'bus': 4.0, 'electric_bicycle': 0.5, 'passenger': 26.0, 'truck': 2.5}",True
0,0,900,demo_3,south,through,31,31.0,0.0,0.0,0.0,"{'bus': 4.0, 'electric_bicycle': 0.5, 'passenger': 24.0, 'truck': 2.5}",True
0,0,900,demo_3,west,left,21,21.0,0.0,0.0,0.0,"{'bus': 2.0, 'electric_bicycle': 0.5, 'passenger': 16.0, 'truck': 2.5}",True
0,0,900,demo_3,west,right,20,20.0,0.0,0.0,0.0,"{'bus': 2.0, 'electric_bicycle': 0.5, 'passenger': 15.0, 'truck': 2.5}",True
0,0,900,demo_3,west,through,77,77.0,0.0,0.0,0.0,"{'bus': 10.0, 'electric_bicycle': 1.0, 'passenger': 61.0, 'truck': 5.0}",True
0,0,900,demo_5,east,left,46,46.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 0.5, 'passenger': 37.0, 'truck': 2.5}",True
0,0,900,demo_5,east,through,45,45.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 0.5, 'passenger': 36.0, 'truck': 2.5}",True
0,0,900,demo_5,south,left,40,40.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 0.5, 'passenger': 31.0, 'truck': 2.5}",True
0,0,900,demo_5,south,right,60,60.0,0.0,0.0,0.0,"{'bus': 8.0, 'electric_bicycle': 1.0, 'passenger': 46.0, 'truck': 5.0}",True
0,0,900,demo_5,west,right,33,33.0,0.0,0.0,0.0,"{'bus': 4.0, 'electric_bicycle': 0.5, 'passenger': 26.0, 'truck': 2.5}",True
0,0,900,demo_5,west,through,78,78.0,0.0,0.0,0.0,"{'bus': 10.0, 'electric_bicycle': 1.0, 'passenger': 62.0, 'truck': 5.0}",True
0,0,900,demo_6,east,left,45,45.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 0.5, 'passenger': 36.0, 'truck': 2.5}",True
0,0,900,demo_6,east,right,47,47.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 0.5, 'passenger': 38.0, 'truck': 2.5}",True
0,0,900,demo_6,east,through,102,102.0,0.0,0.0,0.0,"{'bus': 12.0, 'electric_bicycle': 1.5, 'passenger': 81.0, 'truck': 7.5}",True
0,0,900,demo_6,north,left,29,29.0,0.0,0.0,0.0,"{'bus': 4.0, 'electric_bicycle': 0.5, 'passenger': 22.0, 'truck': 2.5}",True
0,0,900,demo_6,north,right,17,17.0,0.0,0.0,0.0,"{'bus': 2.0, 'electric_bicycle': 0.0, 'passenger': 15.0, 'truck': 0.0}",True
0,0,900,demo_6,north,through,76,76.0,0.0,0.0,0.0,"{'bus': 10.0, 'electric_bicycle': 1.0, 'passenger': 60.0, 'truck': 5.0}",True
0,0,900,demo_6,south,left,44,44.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 0.5, 'passenger': 35.0, 'truck': 2.5}",True
0,0,900,demo_6,south,right,23,23.0,0.0,0.0,0.0,"{'bus': 2.0, 'electric_bicycle': 0.5, 'passenger': 18.0, 'truck': 2.5}",True
0,0,900,demo_6,south,through,43,43.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 0.5, 'passenger': 34.0, 'truck': 2.5}",True
0,0,900,demo_6,west,left,12,12.0,0.0,0.0,0.0,"{'bus': 2.0, 'electric_bicycle': 0.0, 'passenger': 10.0, 'truck': 0.0}",True
0,0,900,demo_6,west,right,38,38.0,0.0,0.0,0.0,"{'bus': 4.0, 'electric_bicycle': 0.5, 'passenger': 31.0, 'truck': 2.5}",True
0,0,900,demo_6,west,through,65,65.0,0.0,0.0,0.0,"{'bus': 8.0, 'electric_bicycle': 1.0, 'passenger': 51.0, 'truck': 5.0}",True
0,0,900,demo_9,east,left,23,23.0,0.0,0.0,0.0,"{'bus': 2.0, 'electric_bicycle': 0.5, 'passenger': 18.0, 'truck': 2.5}",True
0,0,900,demo_9,east,right,56,56.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 1.0, 'passenger': 44.0, 'truck': 5.0}",True
0,0,900,demo_9,east,through,14,14.0,0.0,0.0,0.0,"{'bus': 2.0, 'electric_bicycle': 0.0, 'passenger': 12.0, 'truck': 0.0}",True
0,0,900,demo_9,north,left,42,42.0,0.0,0.0,0.0,"{'bus': 4.0, 'electric_bicycle': 1.0, 'passenger': 32.0, 'truck': 5.0}",True
0,0,900,demo_9,north,right,12,12.0,0.0,0.0,0.0,"{'bus': 2.0, 'electric_bicycle': 0.0, 'passenger': 10.0, 'truck': 0.0}",True
0,0,900,demo_9,north,through,66,66.0,0.0,0.0,0.0,"{'bus': 8.0, 'electric_bicycle': 1.0, 'passenger': 52.0, 'truck': 5.0}",True
