interval_index,begin,end,intersection_id,official_approach,official_movement,target_pcu,actual_pcu,error_pcu,relative_error,geh,vehicle_contributions_pcu,passed
0,0,900,demo_14,east,left,92,92.0,0.0,0.0,0.0,"{'bus': 12.0, 'electric_bicycle': 1.0, 'passenger': 74.0, 'truck': 5.0}",True
0,0,900,demo_14,east,right,106,106.0,0.0,0.0,0.0,"{'bus': 12.0, 'electric_bicycle': 1.5, 'passenger': 85.0, 'truck': 7.5}",True
0,0,900,demo_14,north,left,57,57.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 1.0, 'passenger': 45.0, 'truck': 5.0}",True
0,0,900,demo_14,north,through,82,82.0,0.0,0.0,0.0,"{'bus': 10.0, 'electric_bicycle': 1.0, 'passenger': 66.0, 'truck': 5.0}",True
0,0,900,demo_14,south,right,71,71.0,0.0,0.0,0.0,"{'bus': 8.0, 'electric_bicycle': 1.0, 'passenger': 57.0, 'truck': 5.0}",True
0,0,900,demo_14,south,through,42,42.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 0.5, 'passenger': 33.0, 'truck': 2.5}",True
0,0,900,demo_15,east,left,41,41.0,0.0,0.0,0.0,"{'bus': 4.0, 'electric_bicycle': 0.5, 'passenger': 34.0, 'truck': 2.5}",True
0,0,900,demo_15,east,right,42,42.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 0.5, 'passenger': 33.0, 'truck': 2.5}",True
0,0,900,demo_15,east,through,92,92.0,0.0,0.0,0.0,"{'bus': 12.0, 'electric_bicycle': 1.0, 'passenger': 74.0, 'truck': 5.0}",True
0,0,900,demo_15,north,left,72,72.0,0.0,0.0,0.0,"{'bus': 8.0, 'electric_bicycle': 1.0, 'passenger': 58.0, 'truck': 5.0}",True
0,0,900,demo_15,north,right,73,73.0,0.0,0.0,0.0,"{'bus': 8.0, 'electric_bicycle': 1.0, 'passenger': 59.0, 'truck': 5.0}",True
0,0,900,demo_15,north,through,79,79.0,0.0,0.0,0.0,"{'bus': 10.0, 'electric_bicycle': 1.0, 'passenger': 63.0, 'truck': 5.0}",True
0,0,900,demo_15,south,left,30,30.0,0.0,0.0,0.0,"{'bus': 4.0, 'electric_bicycle': 0.5, 'passenger': 23.0, 'truck': 2.5}",True
