interval_index,begin,end,intersection_id,official_approach,official_movement,target_pcu,actual_pcu,error_pcu,relative_error,geh,vehicle_contributions_pcu,passed
0,0,900,demo_14,east,left,58,58.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 1.0, 'passenger': 46.0, 'truck': 5.0}",True
0,0,900,demo_14,east,right,52,52.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 0.5, 'passenger': 43.0, 'truck': 2.5}",True
0,0,900,demo_14,north,left,121,121.0,0.0,0.0,0.0,"{'bus': 16.0, 'electric_bicycle': 1.5, 'passenger': 96.0, 'truck': 7.5}",True
0,0,900,demo_14,north,through,31,31.0,0.0,0.0,0.0,"{'bus': 4.0, 'electric_bicycle': 0.5, 'passenger': 24.0, 'truck': 2.5}",True
0,0,900,demo_14,south,right,105,105.0,0.0,0.0,0.0,"{'bus': 12.0, 'electric_bicycle': 1.5, 'passenger': 84.0, 'truck': 7.5}",True
0,0,900,demo_14,south,through,59,59.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 1.0, 'passenger': 47.0, 'truck': 5.0}",True
0,0,900,demo_15,east,left,54,54.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 1.0, 'passenger': 42.0, 'truck': 5.0}",True
0,0,900,demo_15,east,right,52,52.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 0.5, 'passenger': 43.0, 'truck': 2.5}",True
0,0,900,demo_15,east,through,51,51.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 0.5, 'passenger': 42.0, 'truck': 2.5}",True
0,0,900,demo_15,north,left,42,42.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 0.5, 'passenger': 33.0, 'truck': 2.5}",True
0,0,900,demo_15,north,right,67,67.0,0.0,0.0,0.0,"{'bus': 8.0, 'electric_bicycle': 1.0, 'passenger': 53.0, 'truck': 5.0}",True
0,0,900,demo_15,north,through,78,78.0,0.0,0.0,0.0,"{'bus': 10.0, 'electric_bicycle': 1.0, 'passenger': 62.0, 'truck': 5.0}",True
0,0,900,demo_15,south,left,71,71.0,0.0,0.0,0.0,"{'bus': 8.0, 'electric_bicycle': 1.0, 'passenger': 57.0, 'truck': 5.0}",True
0,0,900,demo_15,south,right,32,32.0,0.0,0.0,0.0,"{'bus': 4.0, 'electric_bicycle': 0.5, 'passenger': 25.0, 'truck': 2.5}",True
